name,days,attractions,description,highlights,budget,best_season
雁荡山精华一日游,1,雁荡山,游览雁荡山核心景区，感受'东南第一山'的壮丽,灵峰、灵岩、大龙湫,低,春秋季
温州市区文化一日游,1,"江心屿, 五马街, 温州博物馆",感受温州历史文化与城市风情,江心屿古建筑群、五马街步行街、博物馆展览,低,全年
楠溪江山水一日游,1,楠溪江,楠溪江竹筏漂流+古村落探访,竹筏漂流、丽水街、苍坡古村,中,夏秋季
雁荡山-楠溪江两日游,2,"雁荡山, 楠溪江",第一天游览雁荡山，第二天畅游楠溪江,雁荡山奇峰+楠溪江竹筏,中,春秋季
洞头海岛两日游,2,"洞头列岛, 望海楼",海岛度假，吃海鲜、看海景、登望海楼,望海楼观景、海滨浴场、海鲜大餐,中,夏季
温州全景三日游,3,"江心屿, 雁荡山, 楠溪江, 洞头列岛",全面感受温州山水之美与人文之韵,市区文化+雁荡山水+楠溪漂流+海岛风光,中高,春秋季
温州南部深度三日游,3,"百丈漈, 刘伯温故里, 泰顺廊桥, 渔寮风景区",文成-泰顺-苍南深度游，领略温州南部自然与人文,百丈漈观瀑+刘伯温文化+廊桥之乡+黄金海岸,中,春秋季
☀️ 晴日推荐·雁荡山登山健行,1,雁荡山,晴朗天气最适合登山！雁荡山能见度好，可远眺东海,灵峰观景、大龙湫、灵岩飞渡,中,晴好天气优先
🌧️ 雨日推荐·文化室内之旅,1,"江心屿, 刘伯温故里, 泰顺廊桥",雨天适合文化遗产类景点，廊桥避雨别有韵味,江心寺古建、刘伯温文化、廊桥避雨,低,全年的雨天
🏖️ 夏日清凉·海岛避暑线,2,"洞头列岛, 渔寮风景区",炎炎夏日，海岛戏水、吃海鲜，清凉一夏,望海楼、大沙岙沙滩、渔寮金沙滩、海鲜大餐,中,6-9月
🍁 秋日摄影·山水红叶线,2,"雁荡山, 楠溪江, 大罗山",秋季层林尽染，是最佳摄影季节,雁荡秋色、楠溪江晨雾、大罗山日落,中,10-11月
🌸 春日踏青·乡村赏花线,1,"楠溪江, 泽雅风景区, 碗窑古村",春暖花开，古村田园风光正好,楠溪江竹筏、泽雅瀑布、碗窑制陶体验,低,3-5月
🎢 亲子欢乐·乐园+自然线,2,"温州乐园, 大罗山, 温州科技馆",适合带小朋友的亲子路线，玩乐+自然+科普,温州乐园游乐项目、大罗山徒步、科技馆体验,中高,4-10月
♨️ 冬季暖心·温泉古镇线,2,"泰顺廊桥, 文成百丈漈, 泰顺温泉",寒冬泡温泉、看廊桥、观冬瀑，温暖身心,泰顺廊桥雪景、百丈漈冬瀑、温泉泡汤,中,12-2月
